;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0042;SAMPE;ADA;ADA;KEP006;SELAT MIE;#N/A;VSAT;OK;NOK;;;NTB0043;LENANGGUAR;;NTB0042;SAMPE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0043;LENANGGUAR;ADA;ADA;KEP006;SELAT MIE;;;;SP1;;;NTB0044;DESA BATUROTOK;;NTB0043;LENANGGUAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0044;DESA BATUROTOK;ADA;ADA;LAM00005;WAY HARU II;#N/A;NO TIKET;NOK;NOK;;;NTB0045;KELUNGKUNG;;NTB0044;DESA BATUROTOK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0045;KELUNGKUNG;ADA;ADA;LAM00005;WAY HARU II;;;;SP1;;;NTB0047;DORO O'O;;NTB0045;KELUNGKUNG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0047;DORO O'O;ADA;ADA;LAM001;BANDAR DALAM II;#N/A;NO TIKET;OK;NOK;;;NTB0049;HU'U;;NTB0047;DORO O'O;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0049;HU'U;ADA;ADA;LAM001;BANDAR DALAM II;;;;SP1;;;NTB0050;KRAMAT;;NTB0049;HU'U;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0050;KRAMAT;ADA;ADA;LAM003;SIRING GADING;#N/A;NO TIKET;OK;NOK;;;NTB0052;KARAMPI;;NTB0050;KRAMAT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0052;KARAMPI;ADA;ADA;LAM003;SIRING GADING;;;;SP1;;;NTB0053;KANGGA;;NTB0052;KARAMPI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0053;KANGGA;ADA;ADA;LAM004;WAY TIAS;#N/A;NO TIKET;SP1;NOK;;;NTB0056;KABORO;;NTB0053;KANGGA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB0056;KABORO;ADA;ADA;LAM004;WAY TIAS;;;;SP1;;;NTB00623;KAWUWU;;NTB0056;KABORO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB00623;KAWUWU;ADA;ADA;NTB00057;TEMBA LAE;#N/A;NO TIKET;OK;NOK;;;NTB00625;TARLAWI;;NTB00623;KAWUWU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTB00625;TARLAWI;ADA;ADA;NTB00057;TEMBA LAE;;;;SP1;;;NTT00104;NUANGENDA;;NTB00625;TARLAWI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00104;NUANGENDA;ADA;ADA;NTB00058;MANTAR;#N/A;VSAT;NOK;NOK;;;NTT0011;LETKOLE;;NTT00104;NUANGENDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0011;LETKOLE;ADA;ADA;NTB00058;MANTAR;;;;SP1;;;NTT00116;DETUWULU;;NTT0011;LETKOLE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00116;DETUWULU;ADA;ADA;NTB00059;SEMPE;#N/A;VSAT;NOK;NOK;;;NTT0012;NEFONEUT;;NTT00116;DETUWULU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00118;KEBIRANGGA SELATAN;NO LIST;ADA;NTB00059;SEMPE;;;;SP1;;;NTT00127;NIOPANDA;;NTT00118;KEBIRANGGA SELATAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT0012;NEFONEUT;ADA;ADA;NTB00060;TANGKAMPULIT II;#N/A;VSAT;NOK;NOK;;;NTT00130;LISELANDE;;NTT0012;NEFONEUT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00127;NIOPANDA;ADA;ADA;NTB00060;TANGKAMPULIT II;;;;SP1;;;NTT00134;TIWUSORA;;NTT00127;NIOPANDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00130;LISELANDE;ADA;ADA;NTB00061;KALAJENA;#N/A;NO TIKET;OK;NOK;;;NTT00137;LUNGAR;;NTT00130;LISELANDE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00134;TIWUSORA;ADA;ADA;NTB00061;KALAJENA;;;;SP1;;;NTT00138;KOAK;;NTT00134;TIWUSORA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00137;LUNGAR;ADA;ADA;NTB00062;SENAWANG II;#N/A;NO TIKET;NOK;NOK;;;NTT00139;LANGGO;;NTT00137;LUNGAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00138;KOAK;ADA;ADA;NTB00062;SENAWANG II;;;;SP1;;;NTT00140;TADO;;NTT00138;KOAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00139;LANGGO;ADA;ADA;NTB00063;EKAS BUANA;#N/A;NO TIKET;NOK;NOK;;;NTT00142;SATAR LOUNG;;NTT00139;LANGGO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00140;TADO;ADA;ADA;NTB00063;EKAS BUANA;;;;SP1;;;NTT00151;SATAR LUJU;;NTT00140;TADO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00142;SATAR LOUNG;ADA;ADA;NTB00065;RIWO;#N/A;NO TIKET;NOK;NOK;;;NTT00152;SATAR LENDA;;NTT00142;SATAR LOUNG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00151;SATAR LUJU;ADA;ADA;NTB00065;RIWO;;;;SP1;;;NTT00153;SATAR RUWUK;;NTT00151;SATAR LUJU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00152;SATAR LENDA;ADA;ADA;NTB00067;OBEL - OBEL II;#N/A;VSAT;NOK;NOK;;;NTT00154;NUCA MOLAS;;NTT00152;SATAR LENDA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00153;SATAR RUWUK;ADA;ADA;NTB00067;OBEL - OBEL II;;;;SP1;;;NTT00155;BORIK;;NTT00153;SATAR RUWUK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;NTT00154;NUCA MOLAS;ADA;ADA;NTB00068;SAMBIK ELEN;#N/A;NO TIKET;NOK;NOK;;;NTT00156;WONGKA;;NTT00154;NUCA MOLAS;;;;;
