;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1013;WARAWAF;NO LIST;NO LIST;NTT00684;TUNIS;#N/A;NO TIKET;NOK;NOK;;;SMU00097;LAHAGU;;PAP1221;DARMORPIS DARFUAR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1014;BIAWER;ADA;ADA;NTT00684;TUNIS;;;;SP1;;;SMU001;DURU;;PAP1224;NERMNU II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1015;MANIRI;ADA;ADA;NTT0071;LALAFANG;#N/A;VSAT;NOK;NOK;;;SMU00102;ULUMAZO;;PAP1225;MAKMAKERBO II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1016;SAMBAWOFUAR;ADA;ADA;NTT0071;LALAFANG;;;;SP1;;;SMU00103;MARIT BARU;;PAP1241;SAMABUSA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1017;RARMPIMBO;ADA;ADA;NTT0072;WAIMI;#N/A;VSAT;NOK;NOK;;;SMU00104;HILIGAFOA;;PAP1242;WAROKI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1018;SAMBERSUP;ADA;ADA;NTT0072;WAIMI;;;;SP1;;;SMU00105;LUAHA IDANO PONO;;PAP1244;SIMA III;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1019;SANUMI;ADA;ADA;NTT0076;KALONDAMA TENGAH;#N/A;NO TIKET;NOK;NOK;;;SMU00107;FOIKHU FONDRAKO;;PAP1457;KANAWA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1021;AMYAMBENRAM;ADA;ADA;NTT0076;KALONDAMA TENGAH;;;;SP1;;;SMU0011;TANO MOKINU;;PAP1458;AKUDIOMI - MARMER;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1022;WARBERIK;ADA;ADA;NTT0081;NDETUZEA;#N/A;NO TIKET;OK;NOK;;;SMU00112;HILIDANAYAO;;PAP1459;AKUDIOMI - AHYERI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1024;RAMDORI;ADA;ADA;NTT0081;NDETUZEA;;;;SP1;;;SMU0015;KOTO;;PAP1460;AKUDIOMI - WAUBU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1025;SASWARBO;ADA;ADA;NTT0082;ONDOREA BARAT;#N/A;NO TIKET;OK;NOK;;;SMU002;TUWASO;;PAP1461;TATUI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1026;ANJAREUW;ADA;ADA;NTT0082;ONDOREA BARAT;;;;SP1;;;SMU0020;LABUHAN RIMA;;PAP1466;AKUDIOMI - PANTAI  IRUI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1027;MARYENDI;ADA;ADA;NTT0090;WOLOGAI;#N/A;NO TIKET;NOK;NOK;;;SMU0021;LAMBAK;;PAP1468;MOOR - TANJUNG TIROINE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1028;MAKUKER;NO LIST;ADA;NTT0090;WOLOGAI;;;;SP1;;;SMU0023;MAHANG LABARA;;RIA00010;TANJUNG DARUL TAKZIM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1030;MADI;NO LIST;NO LIST;PAB0873;KAUNGWAM;#N/A;BTS;OK;NOK;;;SMU0024;ADAM;;RIA00012;SUNGAI TENGAH;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1036;MEMOWA;NO LIST;NO LIST;PAB0873;KAUNGWAM;;;;SP1;;;SMU0026;LABUHAN RIMA BARU;;RIA001;HUTAN AYU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1044;YAWERMA;ADA;ADA;PAB0913;CATUBOUW;#N/A;NO TIKET;OK;NOK;;;SMU0031;SILINA BARU;;RIA007;PULAU JEMUR;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1045;DAKABADO;ADA;ADA;PAB0913;CATUBOUW;;;;SP1;;;SMU0033;BAWOLAWINDRA;;SMB00012;SIMALEGI II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1048;MARYAIDORI;ADA;ADA;PAB0917;BIGWAIMOD;#N/A;BTS;SP1;SP1;;;SMU0034;HILIZAMOROGOTANO;;SMB00013;MA.SIKABALUAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1049;KOBARI JAYA;ADA;ADA;PAB1059;PUAR;#N/A;CCTV;OK;NOK;;;SMU0036;LIMO BIANG;;SMB00014;SAUMANGANYA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1051;AIR MANDIDI;ADA;ADA;PAB1059;PUAR;;;;SP1;;;SMU0039;WAWA;;SMB00015;MADOBAG II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1052;HUMBEHAWAI;ADA;ADA;PAB1140;MAMPOJI;#N/A;BTS;OK;NOK;;;SMU004;SIALEMA;;SMB00016;SIGAPOKNA II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1056;SAWADORI;ADA;ADA;PAB1140;MAMPOJI;;;;SP1;;;SMU0040;AFORE GOBO;;SMB00017;CIMPUNGAN II;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1057;EKODAGI;NO LIST;NO LIST;PAB1201;MUBRAIDIBA;#N/A;CCTV;SP1;BAD;;;SMU0042;BALUTA;;SMB001;MARA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1058;DIMI;ADA;ADA;PAB1201;MUBRAIDIBA;;;;SP1;;;SMU0043;EHO BALUTA;;SMB0010;BULASAT;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1059;MANGGONSWAN;ADA;ADA;PAB1221;BINGGRAYUD;#N/A;POWER;SP1;SP1;;;SMU0045;HALE BALUTA;;SMB0011;MAKALO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1060;PUWERI;NO LIST;NO LIST;PAB1233;MEIFEKENI;#N/A;BTS;SP1;SP1;;;SMU0046;BAWO ORUDUA;;SMB002;SIOBAN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1062;KALI MERAH;NO LIST;NO LIST;PAB1241;UGYEHEK;#N/A;NO TIKET;OK;NOK;;;SMU0047;JEKE;;SMB009;TAIKAKO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1063;AMOYAIBUTU;NO LIST;NO LIST;PAB1241;UGYEHEK;;;;SP1;;;SMU0048;MAKOLE;;SMU00067;HAYO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1064;WARYEI;ADA;ADA;PAB1242;JIM;#N/A;NO TIKET;OK;NOK;;;SMU0049;SIFAURUASI;;SMU00070;SIBARANUN;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1065;WAFOR;ADA;ADA;PAB1242;JIM;;;;SP1;;;SMU0052;HILIGEHO SOGAWU;;SMU00071;SIGESE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1068;YAPANANI;ADA;ADA;PAB1243;MEIGAHANAU;#N/A;NO TIKET;OK;NOK;;;SMU006;LUMBUI MELAYU;;SMU00072;SIFITU EWALI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1069;ASARKIR;ADA;ADA;PAB1243;MEIGAHANAU;;;;SP1;;;SMU008;LUMBUI NIAS;;SMU00074;SEBUA'ASI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1070;INMDI;ADA;ADA;PAB1244;SINAITOUSI;#N/A;CCTV;OK;NOK;;;(blank);(blank);;SMU00077;BINTUANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1073;ONAIGEDAPA;NO LIST;NO LIST;PAB1244;SINAITOUSI;;;;SP1;;;PAP0087;AMBAIDIRU;;SMU00079;BINTANG BARU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1074;WATIYAI;ADA;ADA;PAB1246;UMPUG;#N/A;NO TIKET;OK;NOK;;;Grand Total;;;SMU00080;ORAHUA ULUZOI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1075;EGEPAKIGIDA;ADA;ADA;PAB1246;UMPUG;;;;SP1;;;;;;SMU00082;SIWALUBANUA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1077;DEIYAI MIYO;NO LIST;NO LIST;PAB1248;WARIAB;#N/A;CCTV;OK;NOK;;;;;;SMU00083;HILIORAHUA TASUA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1079;MANUNGGAL JAYA II;ADA;ADA;PAB1248;WARIAB;;;;SP1;;;;;;SMU00085;SILIMA BANUA UMBUNASI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1080;SAMABUSA;NO LIST;ADA;PAB1254;SOUDIN;#N/A;NO TIKET;OK;NOK;;;;;;SMU00088;ORAHILI BOE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1081;NIFASI II;ADA;ADA;PAB1254;SOUDIN;;;;SP1;;;;;;SMU00097;LAHAGU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1082;NAPAN YAUR II;ADA;ADA;PAB1255;TIMTOU;#N/A;NO TIKET;OK;NOK;;;;;;SMU001;DURU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1083;BIHA II;ADA;ADA;PAB1255;TIMTOU;;;;SP1;;;;;;SMU00102;ULUMAZO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1084;AKUDIOMI II;ADA;ADA;PAB1256;DUGRIMOG;#N/A;CCTV;OK;NOK;;;;;;SMU00103;MARIT BARU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1085;AKUDIOMI III;ADA;ADA;PAB1256;DUGRIMOG;;;;SP1;;;;;;SMU00104;HILIGAFOA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1086;WAMI;ADA;ADA;PAB1257;MISEDA;#N/A;BTS;OK;NOK;;;;;;SMU00105;LUAHA IDANO PONO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1087;NIFASI III;ADA;ADA;PAB1257;MISEDA;;;;SP1;;;;;;SMU00107;FOIKHU FONDRAKO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1089;TADAUTO;NO LIST;ADA;PAB1258;DANMOU;#N/A;NO TIKET;OK;NOK;;;;;;SMU0011;TANO MOKINU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1092;YERMEKI;ADA;ADA;PAB1258;DANMOU;;;;SP1;;;;;;SMU00112;HILIDANAYAO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1094;BURATE DAEWA;ADA;ADA;PAB1259;MINGRE;#N/A;CCTV;OK;NOK;;;;;;SMU0015;KOTO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1095;OIFASANO;ADA;ADA;PAB1259;MINGRE;;;;SP1;;;;;;SMU002;TUWASO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1096;KARIRA;ADA;ADA;PAB1260;SINGGIMEBA;#N/A;NO TIKET;OK;NOK;;;;;;SMU0020;LABUHAN RIMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1097;OTODEMO;NO LIST;NO LIST;PAB1260;SINGGIMEBA;;;;SP1;;;;;;SMU0021;LAMBAK;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1098;PIRO 2;ADA;ADA;PAB1261;INYEI;#N/A;ADUAN;OK;NOK;;;;;;SMU0023;MAHANG LABARA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1102;RONDISI III;ADA;ADA;PAB1261;INYEI;;;;SP1;;;;;;SMU0024;ADAM;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1103;RONDISI IV;ADA;ADA;PAB1262;MOKWAM;#N/A;NO TIKET;OK;NOK;;;;;;SMU0026;LABUHAN RIMA BARU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1109;SAUYAS;ADA;ADA;PAB1262;MOKWAM;;;;SP1;;;;;;SMU0031;SILINA BARU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1113;WONGKEINA III;ADA;ADA;PAB1263;WEDONI;#N/A;NO TIKET;OK;NOK;;;;;;SMU0033;BAWOLAWINDRA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1114;WONGKEINA II;ADA;ADA;PAB1263;WEDONI;;;;SP1;;;;;;SMU0034;HILIZAMOROGOTANO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1115;YAMNAISU II;ADA;ADA;PAB1267;YONGGAM;#N/A;NO TIKET;OK;NOK;;;;;;SMU0036;LIMO BIANG;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1118;KOIRYAKAM II;ADA;ADA;PAB1267;YONGGAM;;;;SP1;;;;;;SMU0039;WAWA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1121;WARBOR II;ADA;ADA;PAB1280;ADIJAYA;#N/A;NO TIKET;OK;NOK;;;;;;SMU004;SIALEMA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1122;WARSA II;ADA;ADA;PAB1280;ADIJAYA;;;;SP1;;;;;;SMU0040;AFORE GOBO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1125;MARSRAM I;ADA;ADA;PAB1281;TAIRI;#N/A;NO TIKET;OK;NOK;;;;;;SMU0042;BALUTA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1126;MARSRAM II;ADA;ADA;PAB1281;TAIRI;;;;SP1;;;;;;SMU0043;EHO BALUTA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1127;MARSRAM III;ADA;ADA;PAB1282;SIAWATAN;#N/A;CCTV;OK;NOK;;;;;;SMU0045;HALE BALUTA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1129;DUBER II;ADA;ADA;PAB1282;SIAWATAN;;;;SP1;;;;;;SMU0046;BAWO ORUDUA;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1130;AMYAS II;ADA;ADA;PAB1288;INYA;#N/A;NO TIKET;OK;NOK;;;;;;SMU0047;JEKE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1133;AIBA;ADA;ADA;PAB1288;INYA;;;;SP1;;;;;;SMU0048;MAKOLE;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1134;WARYEI II;ADA;ADA;PAB1290;MIEYCOMTI;#N/A;ADUAN;SP1;NOK;;;;;;SMU0049;SIFAURUASI;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1135;IREI;ADA;ADA;PAB1290;MIEYCOMTI;;;;SP1;;;;;;SMU0052;HILIGEHO SOGAWU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1136;KIRAWA;ADA;ADA;PAB1291;MINMO;#N/A;BTS;SP1;NOK;;;;;;SMU006;LUMBUI MELAYU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1137;NANI POKEY;ADA;ADA;PAB1291;MINMO;;;;SP1;;;;;;SMU008;LUMBUI NIAS;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1138;NAPISNDI II;ADA;ADA;PAB1292;UNTI;#N/A;NO TIKET;OK;NOK;;;;;;(blank);(blank);;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1140;ADOKI;ADA;ADA;PAB1292;UNTI;;;;SP1;;;;;;PAP1013;WARAWAF;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1141;INMDI II;ADA;ADA;PAB1293;TESTEGA;#N/A;POWER;BAD;BAD;;;;;;PAP0087;AMBAIDIRU;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1142;KOYOMI;ADA;ADA;PAB1294;MORUMFEYI;#N/A;BTS;OK;NOK;;;;;;PAP0583;DIDIABOLO;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1143;ARMNU II;ADA;ADA;PAB1294;MORUMFEYI;;;;SP1;;;;;;Grand Total;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1144;ROIDIFU II;ADA;ADA;PAB1295;MOFOUKEDA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1145;NAPISNDI III;ADA;ADA;PAB1295;MOFOUKEDA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1149;IMBIRSBARI II;ADA;ADA;PAB1296;IDEMAI;#N/A;ADUAN;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1150;YAMNAISU III;ADA;ADA;PAB1298;MEIFOWOSKA;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1156;WARYEI III;ADA;ADA;PAB1330;DUEIBEI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1184;TANJUNG BARARI III;ADA;ADA;PAB1330;DUEIBEI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1185;TANJUNG BARARI II;ADA;ADA;PAB1331;DAREMBANG;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1186;WOTOA;ADA;ADA;PAB1331;DAREMBANG;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1198;WANGGAR PANTAI;ADA;ADA;PAB1332;GORAS;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1202;MARYAIDORI II;ADA;ADA;PAB1332;GORAS;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1208;WAFOR II;ADA;ADA;PAB1333;GORAS SELATAN;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1216;ARIEPI III;ADA;ADA;PAB1333;GORAS SELATAN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1217;AMPIMOI II;ADA;ADA;PAB1334;MBAHAMDANDARA;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1218;RAYORI;ADA;ADA;PAB1334;MBAHAMDANDARA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1219;SAURI II;ADA;ADA;PAB1338;NDABOUW;#N/A;ADUAN;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1220;SOPENDO SUP KARKIR;ADA;ADA;PAB1340;BAMANA;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1221;DARMORPIS DARFUAR;ADA;ADA;PAB1340;BAMANA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1224;NERMNU II;ADA;ADA;PAB1341;MAI-MAI;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1225;MAKMAKERBO II;ADA;ADA;PAB1341;MAI-MAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1241;SAMABUSA II;ADA;ADA;PAB1346;MITIMBER;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1242;WAROKI;ADA;ADA;PAB1346;MITIMBER;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1244;SIMA III;NO LIST;ADA;PAB1347;WAREMU;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1245;SIMA II;NO LIST;NO LIST;PAB1347;WAREMU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1457;KANAWA II;ADA;ADA;PAB1349;MARSI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1458;AKUDIOMI - MARMER;ADA;ADA;PAB1349;MARSI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1459;AKUDIOMI - AHYERI;ADA;ADA;PAB1352;WOOS;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1460;AKUDIOMI - WAUBU;ADA;ADA;PAB1352;WOOS;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1461;TATUI II;ADA;ADA;PAB1357;CIGERA;#N/A;CCTV;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1466;AKUDIOMI - PANTAI  IRUI;ADA;ADA;PAB1358;DIBEDIK;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;PAP1468;MOOR - TANJUNG TIROINE;ADA;ADA;PAB1358;DIBEDIK;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;RIA00010;TANJUNG DARUL TAKZIM;ADA;ADA;PAB1359;GEDEIRA;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;RIA00012;SUNGAI TENGAH;ADA;ADA;PAB1359;GEDEIRA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;RIA001;HUTAN AYU;ADA;ADA;PAB1360;TOMSIR;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;RIA007;PULAU JEMUR;ADA;ADA;PAB1360;TOMSIR;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB00012;SIMALEGI II;ADA;ADA;PAB1361;AVONA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB00013;MA.SIKABALUAN;ADA;ADA;PAB1361;AVONA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB00014;SAUMANGANYA II;ADA;ADA;PAB1362;TANEHAMUR;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB00015;MADOBAG II;ADA;ADA;PAB1362;TANEHAMUR;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB00016;SIGAPOKNA II;ADA;ADA;PAB1363;SENGKITI;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB00017;CIMPUNGAN II;ADA;ADA;PAB1363;SENGKITI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB001;MARA;ADA;ADA;PAB1364;TAWAR;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB0010;BULASAT;ADA;ADA;PAB1364;TAWAR;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB0011;MAKALO;ADA;ADA;PAB1366;RANGKENDAK;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB002;SIOBAN;ADA;ADA;PAB1366;RANGKENDAK;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMB009;TAIKAKO;ADA;ADA;PAB1367;KABURBUR;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00067;HAYO;ADA;ADA;PAB1367;KABURBUR;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00070;SIBARANUN;ADA;ADA;PAB1373;MINOGBEY;#N/A;POWER;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00071;SIGESE;ADA;ADA;PAB1374;KAYUNI;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00072;SIFITU EWALI;ADA;ADA;PAB1374;KAYUNI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00074;SEBUA'ASI;ADA;ADA;PAB1375;KUAGAS;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00077;BINTUANG;ADA;ADA;PAB1375;KUAGAS;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00079;BINTANG BARU;ADA;ADA;PAB1377;HOMORKOKMA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00080;ORAHUA ULUZOI;ADA;ADA;PAB1377;HOMORKOKMA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00082;SIWALUBANUA;ADA;ADA;PAB1378;UBADARI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00083;HILIORAHUA TASUA;ADA;ADA;PAB1378;UBADARI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00085;SILIMA BANUA UMBUNASI;ADA;ADA;PAB1381;WARMORI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00088;ORAHILI BOE;ADA;ADA;PAB1381;WARMORI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00097;LAHAGU;ADA;ADA;PAB1382;WARPA;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU001;DURU;ADA;ADA;PAB1382;WARPA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00102;ULUMAZO;ADA;ADA;PAB1400;NAGURA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00103;MARIT BARU;ADA;ADA;PAB1400;NAGURA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00104;HILIGAFOA;ADA;ADA;PAB1401;TANUSAN;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00105;LUAHA IDANO PONO;ADA;ADA;PAB1401;TANUSAN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00107;FOIKHU FONDRAKO;ADA;ADA;PAP0001;MASIPAWA;#N/A;BTS;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0011;TANO MOKINU;ADA;ADA;PAP0002;WEINAMI;#N/A;POWER;SP1;SP1;;;;;;;;;;;;
